name,muscle_group,exercise_type,tracking_type,icon,color,instructions,is_custom
Cable Lateral Raise,Shoulders,Isolation,weight_reps,cable,,"Stand tall and raise the handle out to the side. Keep tension throughout and control the lowering phase.",false
Rear Delt Fly (Dumbbell),Shoulders,Isolation,weight_reps,dumbbell,,"Hinge forward and sweep arms out wide. Squeeze rear delts and keep neck neutral.",false
Upright Row (Cable),Shoulders,Compound,weight_reps,cable,,"Pull up to upper chest with elbows leading. Keep wrists neutral and stop before shoulder pinch.",false
Handstand Hold,Shoulders,Heavy,duration,bodyweight,,"Stack shoulders over hands and keep a tight midline. Hold steady while breathing calmly.",false
Pike Push-Up,Shoulders,Compound,weighted_bodyweight,bodyweight,,"Hips high and head moves toward the floor between hands. Press back up keeping elbows angled slightly forward.",false
Band Pull-Apart,Shoulders,Stretch,weight_reps,resistance_band,,"Pull the band apart to shoulder width without shrugging. Pause briefly, then return under control.",false
Barbell Curl,Arms,Isolation,weight_reps,barbell,,"Keep elbows pinned to your sides and curl without swinging. Lower slowly to full extension.",false
Dumbbell Hammer Curl,Arms,Isolation,weight_reps,dumbbell,,"Curl with neutral grip and steady torso. Squeeze at the top and control the descent.",false
Incline Dumbbell Curl,Arms,Isolation,weight_reps,dumbbell,,"Let arms hang back for a full stretch. Curl smoothly and avoid letting elbows drift forward.",false
Cable Triceps Pushdown,Arms,Isolation,weight_reps,cable,,"Lock elbows by your sides and extend fully. Keep shoulders down and control back up.",false
Overhead Triceps Extension (Dumbbell),Arms,Isolation,weight_reps,dumbbell,,"Keep elbows pointing forward and ribs down. Extend to full lockout, then lower with control.",false
Close-Grip Bench Press,Arms,Heavy,weight_reps,barbell,,"Use a shoulder-width grip and keep elbows tucked. Lower to mid-chest and press while staying tight.",false
Parallel Bar Dip,Arms,Compound,weighted_bodyweight,dip_bars,,"Keep shoulders down and descend under control. Press up without shrugging at the top.",false
Weighted Dip,Arms,Heavy,weighted_bodyweight,dip_bars,,"Add weight securely and keep a stable torso. Descend smoothly and lock out with control.",false
EZ-Bar Skullcrusher,Arms,Isolation,weight_reps,barbell,,"Keep upper arms still and lower the bar toward your forehead. Extend elbows to finish without flaring.",false
Farmer's Carry,Arms,Heavy,duration,dumbbell,,"Stand tall and walk with controlled steps. Keep shoulders packed and grip the handles hard.",false
Plank,Core,Isolation,duration,bodyweight,,"Brace as if preparing for a punch and keep hips level. Hold a straight line while breathing quietly.",false
Side Plank,Core,Isolation,duration,bodyweight,,"Stack shoulders and hips and lift into a straight line. Keep hips high and neck neutral.",false
Hollow Body Hold,Core,Heavy,duration,bodyweight,,"Press lower back into the floor and extend arms and legs. Hold tension without letting ribs flare.",false
Dead Bug,Core,Isolation,weight_reps,bodyweight,,"Keep low back glued to the floor as you extend opposite arm and leg. Move slowly and return with control.",false
Hanging Knee Raise,Core,Compound,weighted_bodyweight,pullup_bar,,"Hang tall and raise knees toward chest without swinging. Control down to a dead hang each rep.",false
Hanging Leg Raise,Core,Heavy,weighted_bodyweight,pullup_bar,,"Keep legs straight and lift using your abs, not momentum. Lower slowly and avoid rocking.",false
Cable Woodchop,Core,Compound,weight_reps,cable,,"Rotate through the torso with hips stable. Pull diagonally across your body and return under control.",false
Pallof Press,Core,Isolation,weight_reps,cable,,"Press the handle straight out and resist rotation. Hold briefly, then bring it back with control.",false
Ab Wheel Rollout,Core,Heavy,weighted_bodyweight,ab_wheel,,"Roll out slowly while keeping ribs down and hips tucked. Stop before your low back arches and pull back in.",false
Russian Twist (Medicine Ball),Core,Compound,weight_reps,medicine_ball,,"Lean back slightly and rotate shoulders side to side. Keep feet stable and move smoothly.",false
Burpee,Full Body,Cardio,duration,bodyweight,,"Drop to the floor, kick back, then jump up smoothly. Keep a steady pace and land softly.",false
Kettlebell Swing,Full Body,Compound,weight_reps,kettlebell,,"Hinge at the hips and snap them forward to drive the bell. Keep arms relaxed and spine neutral.",false
Thruster (Dumbbell),Full Body,Heavy,weight_reps,dumbbell,,"Squat with control then drive to an overhead press in one motion. Keep core braced and elbows under the weights.",false
Clean and Press (Kettlebell),Full Body,Heavy,weight_reps,kettlebell,,"Clean to the rack with a tight wrist, then press overhead. Reset each rep with control and full-body tension.",false
Renegade Row,Full Body,Compound,weight_reps,dumbbell,,"Hold a strong plank and row one dumbbell at a time. Minimize hip sway and keep shoulders square.",false
Mountain Climber,Full Body,Cardio,duration,bodyweight,,"Stay in a plank and drive knees alternately toward chest. Keep hips low and move rhythmically.",false
Jump Rope,Full Body,Cardio,duration,jump_rope,,"Keep jumps small and land softly on the balls of your feet. Maintain a relaxed grip and steady cadence.",false
Treadmill Run,Full Body,Cardio,distance_duration,treadmill,,"Run tall with a quick, light stride. Set a sustainable pace and keep breathing controlled.",false
Rowing Erg,Full Body,Cardio,distance_duration,rower,,"Drive with legs first, then hinge and pull to ribs. Recover smoothly and keep strokes consistent.",false
Bike Sprint Intervals,Full Body,Cardio,distance_duration,bike,,"Accelerate hard for the work interval, then spin easy to recover. Keep effort consistent across rounds.",false
